buildroot login: root
# [   24.728085][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.980199][   T47] xhci_hcd 0000:00:04.0: 400000
[   24.980237][   T47] xhci_hcd 0000:00:04.0: 8
[   24.980272][   T47] xhci_hcd 0000:00:04.0: 30840
[   24.980405][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   24.980475][   T47] xhci_hcd 0000:00:04.0: 11af580
[   24.980522][   T47] xhci_hcd 0000:00:04.0: 1
[   24.980564][   T47] xhci_hcd 0000:00:04.0: 40
[   24.980605][   T47] xhci_hcd 0000:00:04.0: 10c05
[   24.980682][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   24.980745][   T47] xhci_hcd 0000:00:04.0: 0
[   24.980808][   T47] xhci_hcd 0000:00:04.0: 0
[   24.980849][   T47] xhci_hcd 0000:00:04.0: 0
[   24.980888][   T47] xhci_hcd 0000:00:04.0: 1021
[   24.981200][   T47] xhci_hcd 0000:00:04.0: got 0
[   24.982203][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.982307][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.982415][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   24.982518][    C0] xhci_hcd 0000:00:04.0: trb complete code:13
[   24.983170][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.983272][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   24.983345][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   24.983918][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   24.985217][   T47] usb usb1: submitted urb:
[   24.985331][   T47] usb usb1: pipe:2147483904d,stream:0d
[   24.985396][   T47] usb usb1: control request! transfer flag:0
[   24.985461][   T47] usb usb1: req type:23
[   24.985508][   T47] usb usb1: req3
[   24.985575][   T47] usb usb1: index:1
[   24.985647][   T47] usb usb1: value:4
[   24.985697][   T47] usb usb1: length:0
[   24.985980][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.986053][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.986136][    C0] xhci_hcd 0000:00:04.0: port status!
[   24.986327][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.048381][   T47] usb usb1: submitted urb:
[   25.048532][   T47] usb usb1: pipe:2147484032d,stream:0d
[   25.048585][   T47] usb usb1: control request! transfer flag:0
[   25.048639][   T47] usb usb1: req type:a3
[   25.048677][   T47] usb usb1: req0
[   25.048973][   T47] usb usb1: index:1
[   25.049052][   T47] usb usb1: value:0
[   25.049115][   T47] usb usb1: length:4
[   25.049280][   T47] usb usb1: submitted urb:
[   25.049348][   T47] usb usb1: pipe:2147483904d,stream:0d
[   25.049405][   T47] usb usb1: control request! transfer flag:0
[   25.049471][   T47] usb usb1: req type:23
[   25.049536][   T47] usb usb1: req1
[   25.049574][   T47] usb usb1: index:1
[   25.049626][   T47] usb usb1: value:14
[   25.049686][   T47] usb usb1: length:0
[   25.102379][   T47] xhci_hcd 0000:00:04.0: reset device
[   25.102840][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.103030][   T47] xhci_hcd 0000:00:04.0: 0
[   25.103105][   T47] xhci_hcd 0000:00:04.0: 0
[   25.103201][   T47] xhci_hcd 0000:00:04.0: 0
[   25.103278][   T47] xhci_hcd 0000:00:04.0: 1004401
[   25.103598][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.103699][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.103948][    C0] xhci_hcd 0000:00:04.0: cmd completion
